area,party,year,validVotes,personalVotes,listedMen,listedWomen,electedMen,electedWomen
Copenhagen,Social Democratic Party,2005,89639,74500,24,16,14,7
Copenhagen,Social Democratic Party,2009,68707,52650,27,8,11,6
Copenhagen,Social Democratic Party,2013,76524,55107,23,10,13,3
Copenhagen,Social Democratic Party,2017,82819,57026,24,11,10,5
Copenhagen,Social Liberal Party,2005,28255,19914,12,6,3,4
Copenhagen,Social Liberal Party,2009,19424,14852,11,7,2,3
Copenhagen,Social Liberal Party,2013,30843,17999,12,6,3,3
Copenhagen,Social Liberal Party,2017,26725,15515,8,8,1,4
Copenhagen,Conservative Peoples Party,2005,14534,8871,14,8,2,1
Copenhagen,Conservative Peoples Party,2009,16163,8915,8,3,3,1
Copenhagen,Conservative Peoples Party,2013,13860,9477,8,6,2,1
Copenhagen,Conservative Peoples Party,2017,16792,9658,9,8,1,2
Copenhagen,Nye Borgerlige,2005,0,0,0,0,0,0
Copenhagen,Nye Borgerlige,2009,0,0,0,0,0,0
Copenhagen,Nye Borgerlige,2013,0,0,0,0,0,0
Copenhagen,Nye Borgerlige,2017,2874,1456,3,2,0,0
Copenhagen,Socialist Peoples Party,2005,26755,14788,17,8,3,4
Copenhagen,Socialist Peoples Party,2009,50966,21239,18,14,4,9
Copenhagen,Socialist Peoples Party,2013,27547,17443,13,8,2,4
Copenhagen,Socialist Peoples Party,2017,24830,14776,12,8,1,4
Copenhagen,Liberal Alliance,2005,0,0,0,0,0,0
Copenhagen,Liberal Alliance,2009,2024,1429,6,1,0,0
Copenhagen,Liberal Alliance,2013,10632,5270,6,4,1,1
Copenhagen,Liberal Alliance,2017,11822,6869,5,4,1,1
Copenhagen,Danish Peoples Party (1997-),2005,14018,9272,4,6,1,2
Copenhagen,Danish Peoples Party (1997-),2009,17700,9361,5,5,2,2
Copenhagen,Danish Peoples Party (1997-),2013,20391,10143,6,4,3,1
Copenhagen,Danish Peoples Party (1997-),2017,15082,7473,6,4,2,1
Copenhagen,The Slesvig Party,2005,0,0,0,0,0,0
Copenhagen,The Slesvig Party,2009,0,0,0,0,0,0
Copenhagen,The Slesvig Party,2013,0,0,0,0,0,0
Copenhagen,The Slesvig Party,2017,0,0,0,0,0,0
Copenhagen,Liberal Democratic Party,2005,33186,25158,22,7,6,2
Copenhagen,Liberal Democratic Party,2009,21504,12613,13,5,3,3
Copenhagen,Liberal Democratic Party,2013,31442,19550,10,7,3,4
Copenhagen,Liberal Democratic Party,2017,23652,12126,9,7,3,2
Copenhagen,Unity List,2005,22764,10643,16,12,4,2
Copenhagen,Unity List,2009,25016,11973,15,13,3,3
Copenhagen,Unity List,2013,53672,22403,16,12,6,5
Copenhagen,Unity List,2017,55241,21165,12,16,6,5
Copenhagen,The Alternative,2005,0,0,0,0,0,0
Copenhagen,The Alternative,2009,0,0,0,0,0,0
Copenhagen,The Alternative,2013,0,0,0,0,0,0
Copenhagen,The Alternative,2017,31553,18374,11,6,3,3
Copenhagen,"Letters not reserved, total",2005,9382,5065,108,44,0,0
Copenhagen,"Letters not reserved, total",2009,8245,3917,93,39,0,0
Copenhagen,"Letters not reserved, total",2013,10775,6774,63,36,0,0
Copenhagen,"Letters not reserved, total",2017,8826,5065,53,25,0,0
Frederiksberg,Social Democratic Party,2005,8364,4665,10,6,2,3
Frederiksberg,Social Democratic Party,2009,9875,5497,8,6,2,4
Frederiksberg,Social Democratic Party,2013,10122,6270,9,6,1,3
Frederiksberg,Social Democratic Party,2017,9507,5827,6,6,2,2
Frederiksberg,Social Liberal Party,2005,4740,2222,4,1,1,1
Frederiksberg,Social Liberal Party,2009,2982,1406,7,5,0,1
Frederiksberg,Social Liberal Party,2013,5467,3095,7,3,2,0
Frederiksberg,Social Liberal Party,2017,5738,3799,5,2,2,1
Frederiksberg,Conservative Peoples Party,2005,22403,19360,13,10,7,6
Frederiksberg,Conservative Peoples Party,2009,19949,13229,16,9,7,5
Frederiksberg,Conservative Peoples Party,2013,20646,14001,17,7,7,3
Frederiksberg,Conservative Peoples Party,2017,21995,14717,17,9,7,4
Frederiksberg,Nye Borgerlige,2005,0,0,0,0,0,0
Frederiksberg,Nye Borgerlige,2009,0,0,0,0,0,0
Frederiksberg,Nye Borgerlige,2013,0,0,0,0,0,0
Frederiksberg,Nye Borgerlige,2017,326,106,3,1,0,0
Frederiksberg,Socialist Peoples Party,2005,4969,2528,4,2,1,1
Frederiksberg,Socialist Peoples Party,2009,9212,3886,6,4,2,2
Frederiksberg,Socialist Peoples Party,2013,4892,3142,7,2,1,1
Frederiksberg,Socialist Peoples Party,2017,3660,2085,9,3,1,0
Frederiksberg,Liberal Alliance,2005,0,0,0,0,0,0
Frederiksberg,Liberal Alliance,2009,167,65,2,0,0,0
Frederiksberg,Liberal Alliance,2013,2919,1732,4,1,0,1
Frederiksberg,Liberal Alliance,2017,2161,1437,7,1,0,1
Frederiksberg,Danish Peoples Party (1997-),2005,1723,830,6,1,0,0
Frederiksberg,Danish Peoples Party (1997-),2009,1794,938,2,1,0,0
Frederiksberg,Danish Peoples Party (1997-),2013,2288,1150,4,1,1,0
Frederiksberg,Danish Peoples Party (1997-),2017,1269,482,3,1,0,0
Frederiksberg,The Slesvig Party,2005,0,0,0,0,0,0
Frederiksberg,The Slesvig Party,2009,0,0,0,0,0,0
Frederiksberg,The Slesvig Party,2013,0,0,0,0,0,0
Frederiksberg,The Slesvig Party,2017,0,0,0,0,0,0
Frederiksberg,Liberal Democratic Party,2005,2836,1375,11,2,1,0
Frederiksberg,Liberal Democratic Party,2009,2719,1638,7,3,1,0
Frederiksberg,Liberal Democratic Party,2013,4306,2663,9,5,1,1
Frederiksberg,Liberal Democratic Party,2017,3748,2677,11,5,1,0
Frederiksberg,Unity List,2005,3600,1667,5,6,1,1
Frederiksberg,Unity List,2009,3158,1569,6,6,1,0
Frederiksberg,Unity List,2013,6795,2883,8,7,2,1
Frederiksberg,Unity List,2017,7168,3088,13,13,2,1
Frederiksberg,The Alternative,2005,0,0,0,0,0,0
Frederiksberg,The Alternative,2009,0,0,0,0,0,0
Frederiksberg,The Alternative,2013,0,0,0,0,0,0
Frederiksberg,The Alternative,2017,3267,1895,3,3,0,1
Frederiksberg,"Letters not reserved, total",2005,395,186,4,2,0,0
Frederiksberg,"Letters not reserved, total",2009,343,165,9,0,0,0
Frederiksberg,"Letters not reserved, total",2013,325,208,4,0,0,0
Frederiksberg,"Letters not reserved, total",2017,459,237,8,1,0,0
Dragør,Social Democratic Party,2005,1156,851,12,7,1,2
Dragør,Social Democratic Party,2009,1671,1348,11,5,3,1
Dragør,Social Democratic Party,2013,1545,1079,7,8,3,0
Dragør,Social Democratic Party,2017,1276,976,8,4,2,1
Dragør,Social Liberal Party,2005,337,240,3,1,0,0
Dragør,Social Liberal Party,2009,208,137,4,2,0,0
Dragør,Social Liberal Party,2013,304,208,2,4,0,0
Dragør,Social Liberal Party,2017,278,202,3,3,0,0
Dragør,Conservative Peoples Party,2005,2529,2165,12,7,5,1
Dragør,Conservative Peoples Party,2009,1485,1219,11,3,2,1
Dragør,Conservative Peoples Party,2013,1409,1160,12,6,2,1
Dragør,Conservative Peoples Party,2017,1360,1108,9,3,2,1
Dragør,Nye Borgerlige,2005,0,0,0,0,0,0
Dragør,Nye Borgerlige,2009,0,0,0,0,0,0
Dragør,Nye Borgerlige,2013,0,0,0,0,0,0
Dragør,Nye Borgerlige,2017,0,0,0,0,0,0
Dragør,Socialist Peoples Party,2005,0,0,0,0,0,0
Dragør,Socialist Peoples Party,2009,537,244,2,1,1,0
Dragør,Socialist Peoples Party,2013,0,0,0,0,0,0
Dragør,Socialist Peoples Party,2017,144,62,2,2,0,0
Dragør,Liberal Alliance,2005,0,0,0,0,0,0
Dragør,Liberal Alliance,2009,0,0,0,0,0,0
Dragør,Liberal Alliance,2013,371,225,3,0,0,0
Dragør,Liberal Alliance,2017,187,127,5,0,0,0
Dragør,Danish Peoples Party (1997-),2005,388,278,4,0,0,0
Dragør,Danish Peoples Party (1997-),2009,686,465,3,1,1,0
Dragør,Danish Peoples Party (1997-),2013,1023,754,6,1,2,0
Dragør,Danish Peoples Party (1997-),2017,880,683,5,2,1,1
Dragør,The Slesvig Party,2005,0,0,0,0,0,0
Dragør,The Slesvig Party,2009,0,0,0,0,0,0
Dragør,The Slesvig Party,2013,0,0,0,0,0,0
Dragør,The Slesvig Party,2017,0,0,0,0,0,0
Dragør,Liberal Democratic Party,2005,693,454,5,3,1,0
Dragør,Liberal Democratic Party,2009,1275,922,5,5,1,2
Dragør,Liberal Democratic Party,2013,1372,831,7,2,2,1
Dragør,Liberal Democratic Party,2017,1732,1369,13,4,2,1
Dragør,Unity List,2005,0,0,0,0,0,0
Dragør,Unity List,2009,0,0,0,0,0,0
Dragør,Unity List,2013,0,0,0,0,0,0
Dragør,Unity List,2017,0,0,0,0,0,0
Dragør,The Alternative,2005,0,0,0,0,0,0
Dragør,The Alternative,2009,0,0,0,0,0,0
Dragør,The Alternative,2013,0,0,0,0,0,0
Dragør,The Alternative,2017,273,177,2,3,0,0
Dragør,"Letters not reserved, total",2005,2640,1968,15,10,1,4
Dragør,"Letters not reserved, total",2009,1591,1186,9,10,1,2
Dragør,"Letters not reserved, total",2013,2293,1773,17,10,3,1
Dragør,"Letters not reserved, total",2017,2273,1894,8,12,2,2
Tårnby,Social Democratic Party,2005,10212,8121,11,6,4,5
Tårnby,Social Democratic Party,2009,7880,6022,10,9,4,4
Tårnby,Social Democratic Party,2013,8877,6631,13,6,5,3
Tårnby,Social Democratic Party,2017,8949,6178,13,3,7,1
Tårnby,Social Liberal Party,2005,1038,544,6,4,1,0
Tårnby,Social Liberal Party,2009,631,415,5,3,0,0
Tårnby,Social Liberal Party,2013,785,399,5,2,1,0
Tårnby,Social Liberal Party,2017,836,507,4,1,0,1
Tårnby,Conservative Peoples Party,2005,1066,616,8,2,0,1
Tårnby,Conservative Peoples Party,2009,1096,557,4,1,1,0
Tårnby,Conservative Peoples Party,2013,1058,733,6,2,1,0
Tårnby,Conservative Peoples Party,2017,1573,1073,7,3,2,0
Tårnby,Nye Borgerlige,2005,0,0,0,0,0,0
Tårnby,Nye Borgerlige,2009,0,0,0,0,0,0
Tårnby,Nye Borgerlige,2013,0,0,0,0,0,0
Tårnby,Nye Borgerlige,2017,626,425,6,2,0,0
Tårnby,Socialist Peoples Party,2005,1643,1026,5,4,1,1
Tårnby,Socialist Peoples Party,2009,3657,2026,6,6,2,2
Tårnby,Socialist Peoples Party,2013,1351,835,7,3,1,0
Tårnby,Socialist Peoples Party,2017,1233,732,3,3,0,1
Tårnby,Liberal Alliance,2005,0,0,0,0,0,0
Tårnby,Liberal Alliance,2009,0,0,0,0,0,0
Tårnby,Liberal Alliance,2013,349,118,4,0,0,0
Tårnby,Liberal Alliance,2017,374,171,3,0,0,0
Tårnby,Danish Peoples Party (1997-),2005,2049,1034,5,2,2,0
Tårnby,Danish Peoples Party (1997-),2009,2784,1669,5,2,3,1
Tårnby,Danish Peoples Party (1997-),2013,3520,2105,6,3,3,0
Tårnby,Danish Peoples Party (1997-),2017,3565,2415,3,3,2,1
Tårnby,The Slesvig Party,2005,0,0,0,0,0,0
Tårnby,The Slesvig Party,2009,0,0,0,0,0,0
Tårnby,The Slesvig Party,2013,0,0,0,0,0,0
Tårnby,The Slesvig Party,2017,0,0,0,0,0,0
Tårnby,Liberal Democratic Party,2005,2194,1210,6,3,1,1
Tårnby,Liberal Democratic Party,2009,2074,1024,6,2,2,0
Tårnby,Liberal Democratic Party,2013,4339,2793,8,8,3,1
Tårnby,Liberal Democratic Party,2017,2953,2014,7,2,1,2
Tårnby,Unity List,2005,573,306,2,2,0,0
Tårnby,Unity List,2009,365,155,3,1,0,0
Tårnby,Unity List,2013,1499,599,4,4,1,0
Tårnby,Unity List,2017,1407,605,2,4,0,1
Tårnby,The Alternative,2005,0,0,0,0,0,0
Tårnby,The Alternative,2009,0,0,0,0,0,0
Tårnby,The Alternative,2013,0,0,0,0,0,0
Tårnby,The Alternative,2017,497,290,1,1,0,0
Tårnby,"Letters not reserved, total",2005,271,217,4,2,0,0
Tårnby,"Letters not reserved, total",2009,328,229,2,0,0,0
Tårnby,"Letters not reserved, total",2013,430,332,4,2,0,0
Tårnby,"Letters not reserved, total",2017,0,0,0,0,0,0
Albertslund,Social Democratic Party,2005,6236,4906,12,4,9,2
Albertslund,Social Democratic Party,2009,4937,3718,15,4,7,2
Albertslund,Social Democratic Party,2013,5487,4197,14,3,8,1
Albertslund,Social Democratic Party,2017,5819,4415,12,4,6,3
Albertslund,Social Liberal Party,2005,439,199,3,2,0,0
Albertslund,Social Liberal Party,2009,386,270,3,2,0,0
Albertslund,Social Liberal Party,2013,559,355,6,1,1,0
Albertslund,Social Liberal Party,2017,628,446,5,2,0,1
Albertslund,Conservative Peoples Party,2005,995,696,6,2,1,1
Albertslund,Conservative Peoples Party,2009,1179,838,6,2,1,1
Albertslund,Conservative Peoples Party,2013,993,768,4,2,1,0
Albertslund,Conservative Peoples Party,2017,964,763,5,2,2,0
Albertslund,Nye Borgerlige,2005,0,0,0,0,0,0
Albertslund,Nye Borgerlige,2009,0,0,0,0,0,0
Albertslund,Nye Borgerlige,2013,0,0,0,0,0,0
Albertslund,Nye Borgerlige,2017,0,0,0,0,0,0
Albertslund,Socialist Peoples Party,2005,2177,1532,6,6,2,1
Albertslund,Socialist Peoples Party,2009,2900,1618,6,7,3,3
Albertslund,Socialist Peoples Party,2013,1194,827,6,4,2,0
Albertslund,Socialist Peoples Party,2017,1213,863,5,5,2,0
Albertslund,Liberal Alliance,2005,0,0,0,0,0,0
Albertslund,Liberal Alliance,2009,0,0,0,0,0,0
Albertslund,Liberal Alliance,2013,344,160,3,1,0,0
Albertslund,Liberal Alliance,2017,260,169,4,1,0,0
Albertslund,Danish Peoples Party (1997-),2005,1380,646,5,2,2,0
Albertslund,Danish Peoples Party (1997-),2009,1499,772,3,2,2,0
Albertslund,Danish Peoples Party (1997-),2013,1891,969,6,1,2,1
Albertslund,Danish Peoples Party (1997-),2017,1805,1085,7,4,2,1
Albertslund,The Slesvig Party,2005,0,0,0,0,0,0
Albertslund,The Slesvig Party,2009,0,0,0,0,0,0
Albertslund,The Slesvig Party,2013,0,0,0,0,0,0
Albertslund,The Slesvig Party,2017,0,0,0,0,0,0
Albertslund,Liberal Democratic Party,2005,837,384,7,3,1,0
Albertslund,Liberal Democratic Party,2009,583,266,6,2,1,0
Albertslund,Liberal Democratic Party,2013,1188,690,8,4,1,1
Albertslund,Liberal Democratic Party,2017,842,502,6,4,1,0
Albertslund,Unity List,2005,1086,638,14,7,2,0
Albertslund,Unity List,2009,856,500,14,7,1,0
Albertslund,Unity List,2013,2079,986,15,8,1,2
Albertslund,Unity List,2017,1588,722,10,6,1,1
Albertslund,The Alternative,2005,0,0,0,0,0,0
Albertslund,The Alternative,2009,0,0,0,0,0,0
Albertslund,The Alternative,2013,0,0,0,0,0,0
Albertslund,The Alternative,2017,636,457,3,1,1,0
Albertslund,"Letters not reserved, total",2005,206,122,7,3,0,0
Albertslund,"Letters not reserved, total",2009,45,27,1,2,0,0
Albertslund,"Letters not reserved, total",2013,87,62,3,0,0,0
Albertslund,"Letters not reserved, total",2017,129,96,4,0,0,0
Ballerup,Social Democratic Party,2005,13443,11106,15,11,7,8
Ballerup,Social Democratic Party,2009,13099,10774,13,8,9,6
Ballerup,Social Democratic Party,2013,14178,11534,12,8,9,5
Ballerup,Social Democratic Party,2017,15209,12332,15,6,10,6
Ballerup,Social Liberal Party,2005,877,357,4,2,1,0
Ballerup,Social Liberal Party,2009,472,254,6,1,0,0
Ballerup,Social Liberal Party,2013,653,337,2,3,0,0
Ballerup,Social Liberal Party,2017,699,363,2,4,0,0
Ballerup,Conservative Peoples Party,2005,1956,1196,6,5,1,1
Ballerup,Conservative Peoples Party,2009,1802,1000,7,3,2,0
Ballerup,Conservative Peoples Party,2013,1445,960,6,4,1,0
Ballerup,Conservative Peoples Party,2017,1181,772,4,2,1,0
Ballerup,Nye Borgerlige,2005,0,0,0,0,0,0
Ballerup,Nye Borgerlige,2009,0,0,0,0,0,0
Ballerup,Nye Borgerlige,2013,0,0,0,0,0,0
Ballerup,Nye Borgerlige,2017,469,298,2,1,0,0
Ballerup,Socialist Peoples Party,2005,1715,966,9,6,1,1
Ballerup,Socialist Peoples Party,2009,2912,1455,13,10,2,2
Ballerup,Socialist Peoples Party,2013,873,509,6,5,0,0
Ballerup,Socialist Peoples Party,2017,788,437,5,3,1,0
Ballerup,Liberal Alliance,2005,0,0,0,0,0,0
Ballerup,Liberal Alliance,2009,0,0,0,0,0,0
Ballerup,Liberal Alliance,2013,437,138,4,0,0,0
Ballerup,Liberal Alliance,2017,360,125,2,0,0,0
Ballerup,Danish Peoples Party (1997-),2005,2072,937,4,3,2,0
Ballerup,Danish Peoples Party (1997-),2009,1859,754,2,1,1,1
Ballerup,Danish Peoples Party (1997-),2013,3182,1470,3,3,1,2
Ballerup,Danish Peoples Party (1997-),2017,2444,1136,4,2,1,1
Ballerup,The Slesvig Party,2005,0,0,0,0,0,0
Ballerup,The Slesvig Party,2009,0,0,0,0,0,0
Ballerup,The Slesvig Party,2013,0,0,0,0,0,0
Ballerup,The Slesvig Party,2017,0,0,0,0,0,0
Ballerup,Liberal Democratic Party,2005,3045,1513,11,6,1,2
Ballerup,Liberal Democratic Party,2009,2417,1190,8,3,2,0
Ballerup,Liberal Democratic Party,2013,3624,1914,9,2,4,1
Ballerup,Liberal Democratic Party,2017,2739,1407,9,4,2,1
Ballerup,Unity List,2005,794,467,7,1,0,0
Ballerup,Unity List,2009,520,305,4,2,0,0
Ballerup,Unity List,2013,1754,859,6,5,1,1
Ballerup,Unity List,2017,1527,790,5,3,1,1
Ballerup,The Alternative,2005,0,0,0,0,0,0
Ballerup,The Alternative,2009,0,0,0,0,0,0
Ballerup,The Alternative,2013,0,0,0,0,0,0
Ballerup,The Alternative,2017,533,341,3,0,0,0
Ballerup,"Letters not reserved, total",2005,263,182,1,0,0,0
Ballerup,"Letters not reserved, total",2009,50,24,1,0,0,0
Ballerup,"Letters not reserved, total",2013,97,60,0,1,0,0
Ballerup,"Letters not reserved, total",2017,0,0,0,0,0,0
Brøndby,Social Democratic Party,2005,8310,6546,14,7,7,4
Brøndby,Social Democratic Party,2009,5660,4183,11,5,5,2
Brøndby,Social Democratic Party,2013,7697,5959,14,6,9,1
Brøndby,Social Democratic Party,2017,8952,6835,17,6,10,1
Brøndby,Social Liberal Party,2005,561,212,3,0,0,0
Brøndby,Social Liberal Party,2009,439,330,2,1,0,0
Brøndby,Social Liberal Party,2013,699,510,2,2,0,0
Brøndby,Social Liberal Party,2017,537,410,4,1,1,0
Brøndby,Conservative Peoples Party,2005,697,292,3,1,1,0
Brøndby,Conservative Peoples Party,2009,1121,640,9,2,1,0
Brøndby,Conservative Peoples Party,2013,481,297,4,1,0,0
Brøndby,Conservative Peoples Party,2017,377,189,4,0,0,0
Brøndby,Nye Borgerlige,2005,0,0,0,0,0,0
Brøndby,Nye Borgerlige,2009,0,0,0,0,0,0
Brøndby,Nye Borgerlige,2013,0,0,0,0,0,0
Brøndby,Nye Borgerlige,2017,125,56,1,0,0,0
Brøndby,Socialist Peoples Party,2005,1226,726,7,2,1,0
Brøndby,Socialist Peoples Party,2009,3080,1796,10,2,4,0
Brøndby,Socialist Peoples Party,2013,937,621,5,3,1,0
Brøndby,Socialist Peoples Party,2017,889,588,5,4,1,0
Brøndby,Liberal Alliance,2005,0,0,0,0,0,0
Brøndby,Liberal Alliance,2009,0,0,0,0,0,0
Brøndby,Liberal Alliance,2013,412,245,3,1,0,0
Brøndby,Liberal Alliance,2017,240,153,2,1,0,0
Brøndby,Danish Peoples Party (1997-),2005,1861,905,4,1,1,1
Brøndby,Danish Peoples Party (1997-),2009,2252,1043,6,1,3,1
Brøndby,Danish Peoples Party (1997-),2013,3014,1333,7,2,4,0
Brøndby,Danish Peoples Party (1997-),2017,2389,1152,8,2,3,0
Brøndby,The Slesvig Party,2005,0,0,0,0,0,0
Brøndby,The Slesvig Party,2009,0,0,0,0,0,0
Brøndby,The Slesvig Party,2013,0,0,0,0,0,0
Brøndby,The Slesvig Party,2017,0,0,0,0,0,0
Brøndby,Liberal Democratic Party,2005,2348,1545,9,7,2,1
Brøndby,Liberal Democratic Party,2009,1660,1002,4,2,1,1
Brøndby,Liberal Democratic Party,2013,2228,1379,3,5,2,1
Brøndby,Liberal Democratic Party,2017,1689,1134,5,3,1,1
Brøndby,Unity List,2005,0,0,0,0,0,0
Brøndby,Unity List,2009,0,0,0,0,0,0
Brøndby,Unity List,2013,1248,597,3,0,1,0
Brøndby,Unity List,2017,980,491,4,2,1,0
Brøndby,The Alternative,2005,0,0,0,0,0,0
Brøndby,The Alternative,2009,0,0,0,0,0,0
Brøndby,The Alternative,2013,0,0,0,0,0,0
Brøndby,The Alternative,2017,519,401,3,3,0,0
Brøndby,"Letters not reserved, total",2005,827,718,8,3,1,0
Brøndby,"Letters not reserved, total",2009,802,686,7,2,1,0
Brøndby,"Letters not reserved, total",2013,433,389,5,1,0,0
Brøndby,"Letters not reserved, total",2017,224,186,2,1,0,0
Gentofte,Social Democratic Party,2005,3824,2246,8,5,1,1
Gentofte,Social Democratic Party,2009,4735,2876,7,2,2,1
Gentofte,Social Democratic Party,2013,4944,3129,7,4,1,2
Gentofte,Social Democratic Party,2017,4351,2716,7,2,1,1
Gentofte,Social Liberal Party,2005,3888,2109,14,7,1,1
Gentofte,Social Liberal Party,2009,3102,2012,7,6,0,2
Gentofte,Social Liberal Party,2013,2924,1561,4,6,0,1
Gentofte,Social Liberal Party,2017,3121,1783,6,4,0,1
Gentofte,Conservative Peoples Party,2005,17019,14168,10,11,4,5
Gentofte,Conservative Peoples Party,2009,15780,12764,13,10,4,6
Gentofte,Conservative Peoples Party,2013,19930,17135,11,12,5,6
Gentofte,Conservative Peoples Party,2017,23506,20596,14,9,6,7
Gentofte,Nye Borgerlige,2005,0,0,0,0,0,0
Gentofte,Nye Borgerlige,2009,0,0,0,0,0,0
Gentofte,Nye Borgerlige,2013,0,0,0,0,0,0
Gentofte,Nye Borgerlige,2017,590,366,8,2,0,0
Gentofte,Socialist Peoples Party,2005,1796,770,5,3,1,0
Gentofte,Socialist Peoples Party,2009,3241,1173,5,3,0,2
Gentofte,Socialist Peoples Party,2013,1476,855,4,4,0,0
Gentofte,Socialist Peoples Party,2017,1231,656,3,2,0,1
Gentofte,Liberal Alliance,2005,0,0,0,0,0,0
Gentofte,Liberal Alliance,2009,0,0,0,0,0,0
Gentofte,Liberal Alliance,2013,2080,1203,5,2,1,0
Gentofte,Liberal Alliance,2017,757,322,1,2,0,0
Gentofte,Danish Peoples Party (1997-),2005,1241,783,3,4,0,0
Gentofte,Danish Peoples Party (1997-),2009,1550,991,3,3,0,0
Gentofte,Danish Peoples Party (1997-),2013,1626,1254,3,2,0,0
Gentofte,Danish Peoples Party (1997-),2017,812,463,2,5,0,0
Gentofte,The Slesvig Party,2005,0,0,0,0,0,0
Gentofte,The Slesvig Party,2009,0,0,0,0,0,0
Gentofte,The Slesvig Party,2013,0,0,0,0,0,0
Gentofte,The Slesvig Party,2017,0,0,0,0,0,0
Gentofte,Liberal Democratic Party,2005,4344,2710,14,4,1,1
Gentofte,Liberal Democratic Party,2009,4023,2627,12,5,2,0
Gentofte,Liberal Democratic Party,2013,3782,2282,12,7,1,1
Gentofte,Liberal Democratic Party,2017,2649,1775,12,7,1,0
Gentofte,Unity List,2005,1054,511,10,2,0,0
Gentofte,Unity List,2009,748,364,3,2,0,0
Gentofte,Unity List,2013,2198,1085,5,3,0,1
Gentofte,Unity List,2017,2147,1013,3,3,0,1
Gentofte,The Alternative,2005,0,0,0,0,0,0
Gentofte,The Alternative,2009,0,0,0,0,0,0
Gentofte,The Alternative,2013,0,0,0,0,0,0
Gentofte,The Alternative,2017,1180,549,2,5,0,0
Gentofte,"Letters not reserved, total",2005,2412,1518,13,8,0,1
Gentofte,"Letters not reserved, total",2009,1492,980,10,6,0,0
Gentofte,"Letters not reserved, total",2013,726,508,5,3,0,0
Gentofte,"Letters not reserved, total",2017,86,49,0,1,0,0
Gladsaxe,Social Democratic Party,2005,12718,9328,15,10,6,5
Gladsaxe,Social Democratic Party,2009,10605,7317,16,8,6,3
Gladsaxe,Social Democratic Party,2013,12564,8142,10,9,4,6
Gladsaxe,Social Democratic Party,2017,12361,7497,11,6,5,5
Gladsaxe,Social Liberal Party,2005,2265,1102,16,9,0,1
Gladsaxe,Social Liberal Party,2009,1503,909,6,4,0,1
Gladsaxe,Social Liberal Party,2013,2006,1042,7,3,1,0
Gladsaxe,Social Liberal Party,2017,2353,1342,9,4,1,1
Gladsaxe,Conservative Peoples Party,2005,2596,1699,8,1,1,1
Gladsaxe,Conservative Peoples Party,2009,3129,2114,7,3,2,1
Gladsaxe,Conservative Peoples Party,2013,2161,1539,6,1,1,0
Gladsaxe,Conservative Peoples Party,2017,2494,1699,6,1,1,0
Gladsaxe,Nye Borgerlige,2005,0,0,0,0,0,0
Gladsaxe,Nye Borgerlige,2009,0,0,0,0,0,0
Gladsaxe,Nye Borgerlige,2013,0,0,0,0,0,0
Gladsaxe,Nye Borgerlige,2017,299,142,1,0,0,0
Gladsaxe,Socialist Peoples Party,2005,2333,1248,15,10,1,1
Gladsaxe,Socialist Peoples Party,2009,5623,2668,14,11,4,1
Gladsaxe,Socialist Peoples Party,2013,2687,1721,12,8,1,1
Gladsaxe,Socialist Peoples Party,2017,3429,2229,10,5,1,1
Gladsaxe,Liberal Alliance,2005,0,0,0,0,0,0
Gladsaxe,Liberal Alliance,2009,74,44,1,0,0,0
Gladsaxe,Liberal Alliance,2013,1456,791,4,4,0,1
Gladsaxe,Liberal Alliance,2017,839,359,2,5,0,0
Gladsaxe,Danish Peoples Party (1997-),2005,2674,1420,7,2,2,0
Gladsaxe,Danish Peoples Party (1997-),2009,2965,1601,5,3,2,0
Gladsaxe,Danish Peoples Party (1997-),2013,3722,2009,5,2,3,0
Gladsaxe,Danish Peoples Party (1997-),2017,2872,1404,6,3,2,0
Gladsaxe,The Slesvig Party,2005,0,0,0,0,0,0
Gladsaxe,The Slesvig Party,2009,0,0,0,0,0,0
Gladsaxe,The Slesvig Party,2013,0,0,0,0,0,0
Gladsaxe,The Slesvig Party,2017,0,0,0,0,0,0
Gladsaxe,Liberal Democratic Party,2005,4556,2618,8,5,3,1
Gladsaxe,Liberal Democratic Party,2009,3966,2322,7,4,2,2
Gladsaxe,Liberal Democratic Party,2013,5119,2960,9,4,2,2
Gladsaxe,Liberal Democratic Party,2017,5168,3476,8,4,2,3
Gladsaxe,Unity List,2005,3537,2891,12,13,1,2
Gladsaxe,Unity List,2009,2127,1332,13,12,0,1
Gladsaxe,Unity List,2013,4137,1999,8,7,1,2
Gladsaxe,Unity List,2017,3564,1815,6,5,2,1
Gladsaxe,The Alternative,2005,0,0,0,0,0,0
Gladsaxe,The Alternative,2009,0,0,0,0,0,0
Gladsaxe,The Alternative,2013,0,0,0,0,0,0
Gladsaxe,The Alternative,2017,928,446,4,2,0,0
Gladsaxe,"Letters not reserved, total",2005,268,131,7,5,0,0
Gladsaxe,"Letters not reserved, total",2009,77,40,6,2,0,0
Gladsaxe,"Letters not reserved, total",2013,178,94,2,0,0,0
Gladsaxe,"Letters not reserved, total",2017,0,0,0,0,0,0
Glostrup,Social Democratic Party,2005,4795,3619,9,5,6,2
Glostrup,Social Democratic Party,2009,3351,2344,12,3,4,2
Glostrup,Social Democratic Party,2013,3579,2197,10,3,5,2
Glostrup,Social Democratic Party,2017,4030,2519,10,5,4,3
Glostrup,Social Liberal Party,2005,309,101,4,1,0,0
