week,material_id,material_desc,material_group_id,material_group_desc,abcd,reqs,inventory_ultimo,moq
23,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,-91858,400000
24,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,-91858,400000
25,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,-91858,400000
26,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,-91858,400000
27,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,-91858,400000
28,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,-91858,400000
29,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,-91858,400000
30,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,-91858,400000
31,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,-91858,400000
32,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,200000,-291858,400000
33,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,-291858,400000
34,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,-291858,400000
35,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,-291858,400000
36,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,-291858,400000
37,M51216589,CAN DIEKIRCH 33CL S_AL 0030A MV VBI´18,MG2030201,ALU NON-EMBOSSED CAN,C,0,-291858,400000
8,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,55350,119000
9,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,55350,119000
10,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,55350,119000
11,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,55350,119000
12,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,55350,119000
13,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,55350,119000
14,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,55350,119000
15,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,55350,119000
16,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,55350,119000
17,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,55350,119000
18,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,55350,119000
19,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,55350,119000
20,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,55350,119000
21,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,59500,-4150,119000
22,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,-4150,119000
23,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,-4150,119000
24,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,-4150,119000
25,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,-4150,119000
26,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,-4150,119000
27,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,-4150,119000
28,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,-4150,119000
29,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,-4150,119000
30,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,-4150,119000
31,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,-4150,119000
32,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,-4150,119000
33,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,-4150,119000
34,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,-4150,119000
35,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,-4150,119000
36,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,-4150,119000
37,M51222727,SHRINK CAN DIEKIRCH 2X4X50CL VBI'18,MG2080101,PRINTED SHRINK,B,0,-4150,119000
8,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,157470,190000
9,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,157470,190000
10,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,157470,190000
11,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,157470,190000
12,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,157470,190000
13,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,157470,190000
14,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,157470,190000
15,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,157470,190000
16,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,157470,190000
17,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,157470,190000
18,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,157470,190000
19,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,157470,190000
20,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,95000,62470,190000
21,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,62470,190000
22,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,62470,190000
23,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,62470,190000
24,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,62470,190000
25,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,62470,190000
26,M51224428,SHRINK CAN LEFFE BLOND 2X3X33CL VBI 2018,MG2080101,PRINTED SHRINK,A,0,62470,190000
